year,month,day,hour,minute,second,magnitude
2014,05,31,14,24,00.400,-0.50
2014,05,31,14,43,44.910,0.57
2014,05,31,14,56,51.430,2.72
2014,05,31,14,57,03.850,1.58
2014,05,31,14,57,48.820,1.38
2014,05,31,14,58,26.140,0.55
2014,05,31,14,58,59.180,-0.06
2014,05,31,15,00,06.900,-0.09
2014,05,31,15,00,12.200,-0.04
2014,05,31,15,07,09.020,-0.38
2014,05,31,15,08,48.270,-0.48
2014,05,31,15,10,56.470,-0.49
2014,05,31,15,12,46.500,0.79
2014,05,31,15,13,08.180,-0.49
2014,05,31,15,22,20.070,-0.39
2014,05,31,15,23,13.710,-0.65
2014,05,31,15,23,30.700,1.27
2014,05,31,15,23,57.590,-0.54
2014,05,31,15,24,38.380,-0.93
2014,05,31,15,25,43.340,0.04
2014,05,31,15,25,48.600,0.22
2014,05,31,15,27,49.400,1.76
2014,05,31,15,28,19.170,0.68
2014,05,31,15,28,53.180,-0.12
2014,05,31,15,29,24.830,-0.14
2014,05,31,15,29,36.040,-0.51
2014,05,31,15,30,36.080,0.11
2014,05,31,15,30,38.230,0.33
2014,05,31,15,30,48.800,-0.48
2014,05,31,15,31,15.280,0.79
2014,05,31,15,31,24.480,1.12
2014,05,31,15,31,51.750,0.63
2014,05,31,15,32,44.160,0.15
2014,05,31,15,32,50.540,1.47
2014,05,31,15,33,44.960,-0.17
2014,05,31,15,33,54.230,0.41
2014,05,31,15,34,18.010,-0.29
2014,05,31,15,34,34.060,-0.69
2014,05,31,15,34,41.750,0.01
2014,05,31,15,34,54.790,-0.17
2014,05,31,15,35,44.970,0.39
2014,05,31,15,35,57.970,1.07
2014,05,31,15,37,06.920,0.35
2014,05,31,15,37,39.990,-0.47
2014,05,31,15,38,17.080,-0.63
2014,05,31,15,39,16.850,-0.68
2014,05,31,15,39,34.770,-0.98
2014,05,31,15,44,58.010,-0.10
2014,05,31,15,46,40.600,-0.05
2014,05,31,15,49,49.220,-0.12
2014,05,31,15,50,24.880,-0.62
2014,05,31,15,51,30.810,-0.54
2014,05,31,15,52,15.650,-0.58
2014,05,31,15,52,58.840,-0.26
2014,05,31,15,53,16.610,0.00
2014,05,31,15,53,31.160,-0.70
2014,05,31,15,54,21.370,-0.82
2014,05,31,15,54,43.790,0.26
2014,05,31,15,58,59.550,-0.89
2014,05,31,16,00,09.190,-0.52
2014,05,31,16,08,37.520,-0.29
2014,05,31,16,10,49.140,-0.87
2014,05,31,16,11,49.070,0.31
2014,05,31,16,12,18.770,-0.29
2014,05,31,16,25,25.150,0.86
2014,05,31,16,31,06.980,0.63
2014,05,31,16,35,22.740,-0.41
2014,05,31,16,38,05.630,-0.10
2014,05,31,16,41,38.150,-0.61
2014,05,31,16,45,48.590,-0.81
2014,05,31,16,47,10.130,-0.41
2014,05,31,16,56,52.210,0.83
2014,05,31,17,02,49.200,0.09
2014,05,31,17,06,41.180,-0.42
2014,05,31,17,07,10.640,-0.95
2014,05,31,17,09,39.000,-0.95
2014,05,31,17,17,03.280,0.30
2014,05,31,17,17,32.000,-0.34
2014,05,31,17,24,38.840,0.48
2014,05,31,17,33,02.100,-0.33
2014,05,31,17,44,04.380,0.01
2014,05,31,17,45,21.160,-0.30
2014,05,31,17,53,22.600,-0.27
2014,05,31,17,53,48.720,0.94
2014,05,31,17,53,54.240,0.26
2014,05,31,17,54,30.160,0.78
2014,05,31,17,54,50.460,-0.83
2014,05,31,17,55,18.320,-0.91
2014,05,31,17,57,18.120,-0.53
2014,05,31,18,02,21.760,0.89
2014,05,31,18,07,20.940,1.08
2014,05,31,18,08,30.620,0.11
2014,05,31,18,09,09.900,-0.60
2014,05,31,18,09,44.860,-0.91
2014,05,31,18,10,08.400,-0.21
2014,05,31,18,10,26.400,0.11
2014,05,31,18,13,04.700,-0.52
2014,05,31,18,15,56.760,-0.88
2014,05,31,18,16,28.880,-0.73
2014,05,31,18,16,59.880,0.59
2014,05,31,18,17,18.640,-0.26
2014,05,31,18,17,22.480,-0.28
2014,05,31,18,21,27.600,-0.59
2014,05,31,18,23,09.280,-0.99
2014,05,31,18,23,29.280,-0.76
2014,05,31,18,24,55.320,-0.74
2014,05,31,18,28,27.520,-0.43
2014,05,31,18,31,37.320,-0.99
2014,05,31,18,32,01.820,-0.10
2014,05,31,18,34,10.000,-0.45
2014,05,31,18,37,43.160,-0.55
2014,05,31,18,38,08.840,-0.96
2014,05,31,18,45,55.960,-0.47
2014,05,31,18,47,12.140,-0.48
2014,05,31,18,50,35.760,-0.24
2014,05,31,18,51,53.080,0.26
2014,05,31,18,54,19.280,-0.81
2014,05,31,18,54,42.480,-0.10
2014,05,31,18,57,45.840,-0.80
2014,05,31,19,00,24.200,-0.82
2014,05,31,19,01,13.680,0.00
2014,05,31,19,06,27.400,-0.59
2014,05,31,19,07,54.220,0.26
2014,05,31,19,09,19.480,-0.38
2014,05,31,19,10,19.160,-0.96
2014,05,31,19,11,13.400,-0.84
