year,month,day,hour,minute,second,lat(deg),lon(deg),depth(km),x(m),y(m),z(m),magnitude
2014,05,31,16,47,10.090,37.658879,-118.848787,6.321,223.8,357.0,329.6,-0.41
2014,05,31,16,56,52.160,37.658341,-118.848861,6.434,217.7,297.1,443.2,0.83
2014,05,31,17,02,49.160,37.658199,-118.848869,6.418,216.5,281.6,426.3,0.09
2014,05,31,17,17,03.800,37.635628,-118.877686,8.366,-2326.6,-2223.9,2375.1,0.30
2014,05,31,17,17,31.960,37.660848,-118.848625,6.421,238.6,575.2,430.1,-0.34
2014,05,31,17,24,38.800,37.661133,-118.848462,6.384,252.7,607.0,392.7,0.48
2014,05,31,17,33,01.940,37.660909,-118.848560,6.419,244.0,582.2,427.4,-0.33
2014,05,31,17,44,03.960,37.658732,-118.848958,6.359,208.7,340.4,368.0,0.01
2014,05,31,17,45,21.120,37.658317,-118.848698,6.456,231.7,294.3,465.2,-0.30
2014,05,31,17,53,22.540,37.660307,-118.848283,6.474,268.6,515.4,482.9,-0.27
2014,05,31,17,53,48.640,37.660091,-118.848356,6.475,261.8,491.5,483.9,0.94
2014,05,31,17,54,30.080,37.660099,-118.848307,6.490,266.6,492.3,498.3,0.78
2014,05,31,18,02,21.680,37.660429,-118.848413,6.474,256.8,529.1,483.1,0.89
2014,05,31,18,07,20.880,37.660673,-118.848494,6.454,249.8,555.7,462.5,1.08
2014,05,31,18,08,30.540,37.660620,-118.848462,6.464,253.0,550.1,472.9,0.11
2014,05,31,18,09,08.940,37.660685,-118.848429,6.431,255.8,557.3,439.5,-0.60
2014,05,31,18,10,07.960,37.660742,-118.848315,6.397,265.7,563.8,405.7,-0.21
2014,05,31,18,10,26.340,37.660807,-118.848527,6.427,247.0,571.0,435.4,0.11
2014,05,31,18,13,04.740,37.660689,-118.848267,6.424,270.1,558.0,432.9,-0.52
2014,05,31,18,16,28.880,37.659782,-118.848014,6.335,292.6,457.2,343.3,-0.73
2014,05,31,18,16,59.840,37.660738,-118.848503,6.425,249.5,563.0,433.5,0.59
2014,05,31,18,17,18.600,37.660689,-118.848226,6.411,273.4,557.7,419.9,-0.26
2014,05,31,18,24,55.240,37.660205,-118.848999,6.446,205.1,504.2,454.3,-0.74
2014,05,31,18,28,27.460,37.660689,-118.848576,6.413,242.9,557.5,422.2,-0.43
2014,05,31,18,32,01.140,37.660258,-118.848242,6.476,271.9,509.8,484.4,-0.10
2014,05,31,18,34,09.960,37.660128,-118.848421,6.405,256.2,495.6,413.4,-0.45
2014,05,31,18,45,55.920,37.658923,-118.848576,6.155,243.0,361.6,163.5,-0.47
2014,05,31,18,50,35.680,37.659900,-118.848307,6.478,266.6,470.2,486.9,-0.24
2014,05,31,18,51,53.020,37.659880,-118.848324,6.478,264.8,467.7,486.3,0.26
2014,05,31,18,54,42.440,37.658183,-118.848812,6.486,221.9,279.6,494.4,-0.10
2014,05,31,19,01,13.640,37.658529,-118.848649,6.285,236.5,318.0,294.0,0.00
2014,05,31,19,07,54.160,37.660982,-118.848356,6.407,262.0,590.2,416.2,0.26
2014,05,31,19,09,19.400,37.660994,-118.848169,6.411,278.4,591.5,419.6,-0.38
2014,05,31,19,12,50.180,37.660571,-118.848291,6.409,267.8,544.9,418.2,0.03
2014,05,31,19,14,20.680,37.659973,-118.848527,6.400,247.2,478.4,409.2,-0.32
2014,05,31,19,58,58.540,37.659534,-118.848397,6.523,258.2,429.5,531.8,0.28
2014,05,31,19,59,21.960,37.659371,-118.848519,6.505,247.4,411.5,513.8,0.39
2014,05,31,20,03,07.540,37.659469,-118.848389,6.510,259.6,422.1,518.9,-0.29
2014,05,31,20,03,32.740,37.659452,-118.848429,6.520,255.9,420.3,528.7,0.58
2014,05,31,20,13,15.500,37.659163,-118.848454,6.490,253.8,388.3,499.0,1.16
2014,05,31,20,13,37.940,37.659290,-118.848055,6.496,288.3,402.5,505.3,-0.15
2014,05,31,20,25,52.100,37.659631,-118.848429,6.458,255.3,440.3,466.8,-0.60
2014,05,31,20,34,09.740,37.659383,-118.848088,6.492,286.1,412.8,501.0,0.21
2014,05,31,20,47,06.940,37.662126,-118.848511,6.372,248.2,717.4,380.4,-0.43
2014,05,31,20,51,24.580,37.659383,-118.848299,6.506,267.4,412.6,514.8,-0.32
2014,05,31,21,08,13.280,37.659562,-118.848356,6.544,262.4,432.6,553.2,-0.11
2014,05,31,21,10,23.660,37.659448,-118.848421,6.548,256.3,420.0,556.5,0.64
2014,05,31,21,27,32.540,37.659644,-118.848389,6.560,259.0,441.6,568.4,0.61
2014,05,31,21,27,54.560,37.659961,-118.848022,6.452,291.6,477.1,460.5,-0.18
2014,05,31,21,43,59.320,37.659684,-118.848340,6.240,263.7,446.1,248.4,0.88
2014,05,31,22,03,43.320,37.659351,-118.848568,6.458,243.3,409.0,466.7,-0.15
2014,05,31,22,04,02.960,37.660453,-118.848185,6.196,277.1,531.7,204.8,-0.10
2014,05,31,22,04,10.480,37.660478,-118.848136,6.207,281.6,534.2,215.9,-0.06
2014,05,31,22,20,10.360,37.659469,-118.848486,6.472,250.9,422.1,480.8,-0.46
2014,05,31,22,22,51.680,37.660498,-118.848096,6.176,285.1,536.6,184.3,0.16
2014,05,31,22,23,12.180,37.660490,-118.848112,6.192,283.4,535.5,200.5,0.80
2014,05,31,23,28,26.220,37.660148,-118.848210,6.442,274.7,497.9,451.0,-0.12
2014,05,31,23,44,02.160,37.661369,-118.847957,6.176,297.2,633.0,185.1,1.27
2014,05,31,23,57,48.760,37.660933,-118.848145,6.173,280.7,584.8,181.6,-0.31
2014,06,01,00,15,20.470,37.659701,-118.848478,6.588,251.2,448.1,596.3,0.33
2014,06,01,00,17,17.210,37.659904,-118.848494,6.586,250.1,470.7,594.5,-0.11
2014,06,01,00,24,12.170,37.659928,-118.848478,6.581,251.4,473.3,589.6,-0.11
2014,06,01,00,57,11.670,37.658757,-118.848210,6.426,274.9,343.4,435.1,0.01
2014,06,01,00,59,08.150,37.658883,-118.848128,6.411,282.5,357.3,419.8,0.25
2014,06,01,01,02,08.440,37.658586,-118.848047,6.449,289.3,324.2,458.2,-0.23
2014,06,01,01,22,46.180,37.660124,-118.848348,6.417,262.9,495.1,425.7,0.58
2014,06,01,01,35,58.340,37.660095,-118.848291,6.419,267.7,491.6,428.1,-0.32
2014,06,01,01,36,49.300,37.660059,-118.848291,6.399,268.2,487.9,408.2,-0.23
2014,06,01,01,42,16.440,37.660596,-118.848551,6.321,244.7,547.2,329.8,-0.49
2014,06,01,02,53,47.250,37.659281,-118.848543,6.427,245.9,401.7,435.9,-0.13
2014,06,01,04,16,48.720,37.659851,-118.848234,6.527,273.1,464.6,535.9,-0.77
2014,06,01,04,45,05.160,37.660763,-118.847843,6.101,307.4,565.9,109.8,-0.29
2014,06,01,04,48,00.950,37.661418,-118.847770,6.155,313.5,638.6,164.3,-0.39
2014,06,01,05,19,59.820,37.662459,-118.848242,6.147,272.0,754.2,155.6,-0.10
2014,06,01,05,47,49.240,37.662732,-118.848340,6.141,263.4,784.7,149.9,-0.08
2014,06,01,06,11,21.900,37.662651,-118.848234,6.139,273.0,775.5,147.4,0.35
2014,06,01,08,07,39.510,37.659135,-118.848690,6.650,232.4,385.1,658.7,-0.17
2014,06,01,08,08,07.140,37.659086,-118.848747,6.645,227.7,380.0,653.5,-0.06
2014,06,01,08,21,06.250,37.662109,-118.848031,6.155,290.7,715.3,164.0,-0.39
