DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2015/10/13 15:50:34.31,37.78612,-121.96050,7.224,0.83,Md,0,0,0,0.00,NCSN,72536065
2015/10/13 16:16:47.39,37.78656,-121.95639,7.067,1.56,Md,0,0,0,0.00,NCSN,72536070
2015/10/13 16:16:53.98,37.78580,-121.95664,5.962,1.33,Md,0,0,0,0.00,NCSN,71097614
2015/10/13 16:42:16.24,37.78598,-121.96029,7.339,0.81,Md,0,0,0,0.00,NCSN,72536090
2015/10/13 17:36:24.44,37.78579,-121.96121,7.224,0.97,Md,0,0,0,0.00,NCSN,72536130
2015/10/13 21:03:38.14,37.78494,-121.95822,6.945,1.55,Md,0,0,0,0.00,NCSN,72536275
2015/10/13 21:43:00.21,37.78593,-121.96110,7.283,2.09,Md,0,0,0,0.00,NCSN,72536295
2015/10/13 21:48:00.42,37.78858,-121.96352,8.131,0.85,Md,0,0,0,0.00,NCSN,72536300
2015/10/13 22:10:53.30,37.78617,-121.95986,7.278,1.64,Md,0,0,0,0.00,NCSN,72536320
2015/10/14 01:57:40.67,37.78655,-121.96167,7.136,1.76,Md,0,0,0,0.00,NCSN,72536340
2015/10/14 02:23:23.53,37.78648,-121.96000,7.191,0.83,Md,0,0,0,0.00,NCSN,72536345
2015/10/14 03:03:17.29,37.78671,-121.96148,7.217,0.84,Md,0,0,0,0.00,NCSN,72536350
2015/10/14 04:36:52.58,37.78639,-121.96061,7.551,1.44,Md,0,0,0,0.00,NCSN,72536370
2015/10/14 06:32:45.08,37.78718,-121.95974,7.307,0.94,Md,0,0,0,0.00,NCSN,72536390
2015/10/14 06:43:10.28,37.78760,-121.95885,7.355,2.08,Md,0,0,0,0.00,NCSN,72536395
2015/10/14 06:56:09.24,37.78687,-121.95840,7.223,1.80,Md,0,0,0,0.00,NCSN,72536400
2015/10/14 07:23:30.25,37.78779,-121.95949,7.286,1.56,Md,0,0,0,0.00,NCSN,72536410
2015/10/14 07:23:43.12,37.78779,-121.95483,7.435,1.65,Md,0,0,0,0.00,NCSN,72536415
2015/10/14 08:02:03.58,37.78737,-121.95782,7.292,1.12,Md,0,0,0,0.00,NCSN,72536435
2015/10/14 08:51:30.45,37.78742,-121.95744,7.249,2.07,Md,0,0,0,0.00,NCSN,72536465
2015/10/14 09:49:19.79,37.78730,-121.95503,7.318,1.11,Md,0,0,0,0.00,NCSN,72536510
2015/10/14 10:12:36.34,37.78837,-121.95954,7.623,0.75,Md,0,0,0,0.00,NCSN,72536515
2015/10/14 10:16:39.06,37.79052,-121.96536,9.054,0.92,Md,0,0,0,0.00,NCSN,72536520
2015/10/14 10:22:42.67,37.78566,-121.96094,7.138,2.59,Md,0,0,0,0.00,NCSN,72536530
2015/10/14 10:44:25.83,37.78803,-121.95910,7.411,0.82,Md,0,0,0,0.00,NCSN,72536550
2015/10/14 10:46:46.49,37.79093,-121.96285,8.800,0.83,Md,0,0,0,0.00,NCSN,72536555
2015/10/14 10:53:18.68,37.78706,-121.95897,7.383,2.24,Md,0,0,0,0.00,NCSN,72536560
2015/10/14 10:58:41.41,37.78365,-121.96922,7.395,3.08,Mw,0,0,0,0.00,NCSN,72536565
2015/10/14 11:10:11.99,37.78800,-121.95915,7.510,0.80,Md,0,0,0,0.00,NCSN,72536580
2015/10/14 11:11:05.10,37.78893,-121.95823,7.428,2.21,Md,0,0,0,0.00,NCSN,72536570
2015/10/14 11:12:58.73,37.78792,-121.96129,7.489,2.02,Md,0,0,0,0.00,NCSN,72536575
2015/10/14 11:37:19.25,37.78847,-121.95666,7.455,1.35,Md,0,0,0,0.00,NCSN,72536585
2015/10/14 12:09:24.46,37.78376,-121.96121,6.693,1.26,Md,0,0,0,0.00,NCSN,72536615
2015/10/14 12:14:39.71,37.78809,-121.96104,7.385,1.08,Md,0,0,0,0.00,NCSN,72536620
2015/10/14 12:14:55.86,37.78732,-121.95701,7.140,1.64,Md,0,0,0,0.00,NCSN,72536625
2015/10/14 12:17:13.47,37.78549,-121.95995,7.608,0.69,Md,0,0,0,0.00,NCSN,72536635
2015/10/14 12:27:19.94,37.78691,-121.96037,7.301,1.13,Md,0,0,0,0.00,NCSN,72536645
2015/10/14 13:10:24.57,37.78473,-121.96253,7.204,0.80,Md,0,0,0,0.00,NCSN,72536680
2015/10/14 14:10:54.73,37.78776,-121.96025,7.517,1.05,Md,0,0,0,0.00,NCSN,72536715
2015/10/14 14:15:35.41,37.79115,-121.96335,8.227,0.83,Md,0,0,0,0.00,NCSN,72536720
2015/10/14 14:18:45.03,37.78772,-121.96023,7.448,1.71,Md,0,0,0,0.00,NCSN,72536725
2015/10/14 14:47:13.83,37.78084,-121.96728,6.587,1.12,Md,0,0,0,0.00,NCSN,72536745
2015/10/14 14:56:44.28,37.78987,-121.95790,7.378,1.49,Md,0,0,0,0.00,NCSN,72536765
2015/10/14 15:14:04.47,37.78988,-121.95739,6.998,2.95,Md,0,0,0,0.00,NCSN,72536780
2015/10/14 15:32:37.80,37.78941,-121.95686,7.581,1.30,Md,0,0,0,0.00,NCSN,72536785
2015/10/14 16:00:37.14,37.78968,-121.95771,7.586,1.43,Md,0,0,0,0.00,NCSN,72536795
2015/10/14 16:04:51.81,37.78526,-121.96138,7.320,1.11,Md,0,0,0,0.00,NCSN,72536800
2015/10/14 16:42:02.02,37.78900,-121.95864,7.451,1.08,Md,0,0,0,0.00,NCSN,72536810
2015/10/14 16:48:36.02,37.78318,-121.96438,7.053,0.70,Md,0,0,0,0.00,NCSN,72536820
2015/10/14 16:48:42.24,37.78457,-121.96045,7.009,1.48,Md,0,0,0,0.00,NCSN,71097624
