DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1983/03/30 04:15:25.80,35.2000,-92.1500,4.00,3.20,ML,,,,,NM,
1983/03/30 04:20:54.40,35.2300,-92.2000,4.00,2.50,ML,,,,,NM,
1983/03/30 04:20:54.80,35.2100,-92.1600,5.00,2.70,ML,,,,,NM,
1983/03/30 04:48:51.90,35.3500,-92.4000,4.00,2.00,ML,,,,,NM,
1983/03/30 18:47:33.90,35.2300,-92.1900,4.00,1.90,ML,,,,,NM,
1983/04/23 12:36:49.60,35.2900,-92.2900,3.00,1.80,ML,,,,,NM,
1983/06/21 13:58:28.50,35.1900,-92.1800,4.00,2.50,ML,,,,,NM,
1983/06/22 03:44:35.60,35.1700,-92.1600,5.00,1.50,ML,,,,,NM,
1983/06/22 04:04:14.40,35.2300,-92.2200,4.00,2.10,ML,,,,,NM,
1983/07/12 08:32:01.10,35.2600,-92.2700,5.00,2.50,ML,,,,,NM,
1983/07/31 14:07:01.60,35.2500,-92.1500,5.00,2.50,ML,,,,,NM,
1984/07/12 01:27:17.64,35.2300,-92.2070,5.20,2.60,ML,,,,,NM,
1984/07/31 02:40:38.65,35.2470,-92.4460,4.10,1.50,ML,,,,,NM,
1984/09/27 13:03:05.85,35.2110,-92.2000,4.00,3.20,ML,,,,,NM,
1984/09/27 13:16:04.21,35.1950,-92.2120,4.60,2.70,ML,,,,,NM,
1984/09/27 17:30:11.10,35.2090,-92.3430,7.00,2.10,ML,,,,,NM,
1984/09/27 17:31:29.74,35.2190,-92.2200,6.70,2.30,ML,,,,,NM,
1984/10/05 23:28:43.58,35.1840,-92.2420,6.70,2.00,ML,,,,,NM,
1984/11/12 10:47:58.50,35.2000,-92.2300,6.40,2.10,ML,,,,,NM,
1985/02/24 11:14:44.80,35.2260,-92.2790,3.00,1.90,ML,,,,,NM,
1985/02/24 12:32:11.64,35.2190,-92.2770,3.00,2.00,ML,,,,,NM,
1985/02/25 07:51:38.95,35.2010,-92.2050,3.00,2.00,ML,,,,,NM,
1985/08/02 04:23:10.80,35.2230,-92.2130,6.60,2.70,ML,,,,,NM,
1985/08/03 04:23:11.00,35.2100,-92.2000,5.00,3.30,ML,,,,,NM,
1985/10/21 15:26:14.86,35.2040,-92.2140,4.10,2.20,ML,,,,,NM,
1985/11/08 19:56:48.52,35.2230,-92.1880,3.60,3.10,ML,,,,,NM,
1985/11/14 10:46:00.92,35.2090,-92.2010,3.20,2.10,ML,,,,,NM,
1985/11/18 18:28:50.49,35.1240,-92.2880,3.80,2.00,ML,,,,,NM,
1985/11/20 11:19:50.49,35.2230,-92.2610,5.10,1.70,ML,,,,,NM,
1985/11/20 11:28:53.23,35.1490,-92.2650,1.10,2.30,ML,,,,,NM,
1985/11/20 12:11:39.60,35.1700,-92.2600,10.00,1.70,ML,,,,,NM,
1985/11/20 12:23:13.79,35.2370,-92.2430,4.60,2.00,ML,,,,,NM,
1985/11/21 10:42:08.70,35.1500,-92.2200,10.00,1.90,ML,,,,,NM,
1985/11/21 11:45:24.40,35.1900,-92.2000,5.00,2.10,ML,,,,,NM,
