YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,03,02,50,57.51,37.630676,-119.022070,4.853
2014,02,03,03,53,04.11,37.632198,-119.019417,4.837
2014,02,03,04,46,36.32,37.632141,-119.019743,4.838
2014,02,03,04,53,25.45,37.632206,-119.022754,4.861
2014,02,03,05,45,28.16,37.630640,-119.023958,4.763
2014,02,03,05,57,27.83,37.630806,-119.023910,4.728
2014,02,03,06,01,16.80,37.631689,-119.023771,4.637
2014,02,03,06,38,49.39,37.630526,-119.021842,4.899
2014,02,03,06,50,53.57,37.629960,-119.026530,4.797
2014,02,03,06,52,43.32,37.631889,-119.019938,4.889
2014,02,03,06,57,43.43,37.632296,-119.028988,4.499
2014,02,03,07,26,21.47,37.630245,-119.022160,4.916
2014,02,03,07,28,45.41,37.630640,-119.021965,4.891
2014,02,03,07,58,27.86,37.632442,-119.022274,4.765
2014,02,03,08,06,54.40,37.633268,-119.021191,4.793
2014,02,03,08,22,48.09,37.632243,-119.022225,4.908
2014,02,03,08,31,52.13,37.630505,-119.020109,4.934
2014,02,03,08,31,59.82,37.632430,-119.020321,4.786
2014,02,03,08,50,59.26,37.630212,-119.022298,4.925
2014,02,03,08,59,21.21,37.630485,-119.020011,5.093
2014,02,03,09,10,07.90,37.630632,-119.021981,4.938
2014,02,03,09,10,23.53,37.630078,-119.020549,4.859
2014,02,03,09,10,40.35,37.629232,-119.020581,4.701
2014,02,03,09,11,10.83,37.630200,-119.019946,4.769
2014,02,03,09,11,21.69,37.626265,-119.022127,5.212
2014,02,03,09,13,24.11,37.630851,-119.019238,4.870
2014,02,03,09,14,53.86,37.632206,-119.021680,4.958
2014,02,03,09,24,17.39,37.631738,-119.022713,4.820
2014,02,03,09,28,17.47,37.631059,-119.022868,4.907
2014,02,03,09,32,21.49,37.632601,-119.021476,4.890
2014,02,03,10,17,30.38,37.632495,-119.028516,4.540
2014,02,03,10,21,23.59,37.630636,-119.023885,4.798
